2020-09-02,,,,,,,,
Item #,Designator,Qty,Manufacturer,Mfg Part #,Description / Value,Footprint ,LCSC Part Number,Type
1,U2,1,Texas Instruments,SN74LV1T08DCKR,"Level translator gate,1.8/2.5/3.3 Vin,3.3V CMOS Out",SC-70-5,C130199,SMD
2,U3,1,Nexperia,"74HC1G126GV,125",Voltage level translator with output enable,SOT-23-5,C92637,SMD
3,U4,1,Texas Instruments,TPS62203DBVR,3.3V Out Hi-Eff Step-Down Converter,SOT-23-5,,SMD
4,U5,1,Texas Instruments,SN74LVC1G14DBVR,Single Schmitt-trigger inverter,SOT-23-5,C7835,SMD
5,L1,1,Sunlord,GZ2012D601TF,Ferrite Bead 600ohms 500mA 300mOhms 0805,805,C1017,SMD
6,L2,1,Tayio Yuden,CB2012T100KR,Inductor 0805 10uH 650mOhms +/-10% 200mA,805,,SMD
7,R1,1,Uniroyal Elec,0603WAF1002T5E,RES 10K 1%/5% 0603,603,C25804,SMD
8,"R2,R6",2,Uniroyal Elec,0603WAF330JT5E,RES 33 Ohm 1%/5% 0603,603,C23140,SMD
9,"R3,R4,R5,R7,R11",5,Uniroyal Elec,0603WAF3302T5E,RES 33 kOhm 1%/5% 0603,603,C4216,SMD
10,"R8,R9",2,Uniroyal Elec,0603WAF1001T5E,RES 1 kOhm 1%/5% 0603,603,C21190,SMD
11,R10,1,Uniroyal Elec,0603WAF4700T5E,RES 470 Ohm 1%/5% 0603,603,C23179,SMD
12,C1,1,Samsung,CL21B105KBFNNNE,CAP 1u 10% 0805 50V,805,C28323,SMD
13,C2,1,Samsung,CL05C220JB5NNNC,CAP 22p 10% 0402,402,C70464,SMD
14,"C3,C10",2,Samsung,CL05B104KO5NNNC,CAP 100n 10% 0402,402,C1525,SMD
15,"C4, C9",2,Samsung,CL10B104JB8NNNC,CAP 100n 10% 0603,603,C24452,SMD
16,C5,1,Samsung,CL21A475KAQNNNE,CAP 4.7u 10% 0805,805,C1779,SMD
17,C6,1,Samsung,CL10B103JB8NNNC,CAP 10n 10% 0603,603,C7248,SMD
18,C7,1,Samsung,CL10A106KP8NNNC,CAP 10u 10% 0805,805,C19702,SMD
19,C8,1,Guangdong Fenghua,0805F225M500NT,CAP 2.2u 10% 0805,805,C49217,SMD
20,Q1,1,Leshan Radio,L2N7002WT1G,Small signal MOSFET 310mA 1.6 Ohm,SC-70-3,C12778,SMD
21,D1,1,Nexperia,"PMEG4002EB,115",Shottky diode,SOD-523,C50676,SMD
22,"D2,D3",2,Everlight Elec,17-21/GHC-YR1S2/3T,Green SMD LED,805,C73546,SMD
