Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0805_NarrowPads,21.793,-4.632,270,top
C2,18pF,C_0402,22.451,-2.235,180,top
C3,100nF,C_0402,4.351,-10.617,0,top
C4,100nF,C_0603,12.014,-16.2635,270,top
C5,4.7uF,C_0805,8.966,-26.873,0,top
C6,1nF,C_0603,13.4364,-21.4628,270,top
C7,10uF,C_0805,11.7346,-21.666,270,top
C8,100nF,C_0805,26.873,-9.093,90,top
C9,100nF,C_0603,23.1315,-11.7981,0,top
C10,100nF,C_0402,17.856,-23.825,180,top
D1,Shottky,D_SOD-523,1.346,-10.363,180,top
D2,Green,LED_0805,20.904,-24.587,180,top
D3,Green,LED_0805,20.904,-14.427,0,top
F1,0.1A,Fuse_0603,6.426,-24.3585,90,top
L1,600Ohm,L_0805,24.46,-5.41,0,top
L2,10uH,L_0805,8.966,-20.904,0,top
Q1,NMOS,SOT-323_SC-70,17.856,-26.111,270,top
R1,10K,R_0603,4.836,-8.4325,90,top
R2,33,R_0603,22.174,-0.9015,180,top
R3,10K,R_0603,2.6415,-6.68,90,top
R4,10K,R_0603,2.1334,-8.9152,180,top
R5,22K,R_0603,1.473,-12.649,270,top
R6,33,R_0603,6.934,-16.3065,270,top
R7,33K,R_0603,24.46,-13.3475,180,top
R8,4.7K,R_0603,26.873,-12.56,90,top
R9,33K,R_0603,13.538,-16.2635,90,top
R10,330,R_0603,21.054,-26.365,0,top
R11,100K,R_0603,15.062,-16.2635,270,top
SW1,ON/OFF,SW_SPST_PTS645_4pin,20.904,-19.507,0,top
U2,74AUP1T08,SOT-353_SC-70-5,3.886,-12.649,180,top
U3,SN74LV1T126,SOT-23-5,9.474,-15.951,90,top
U4,TPS62203DBV,SOT-23-5,8.966,-23.825,270,top
U5,74LVC1G14,SOT-23-5,23.444,-9.22,0,top
