Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0805_NarrowPads",21.793000,-4.632000,270.000000,top
"C2","18pF","C_0402",22.451000,-2.235000,180.000000,top
"C3","100nF","C_0402",4.351000,-10.617000,0.000000,top
"C4","100nF","C_0603",12.014000,-16.263500,270.000000,top
"C5","4.7uF","C_0805",8.966000,-26.873000,0.000000,top
"C6","1nF","C_0603",13.436400,-21.462800,270.000000,top
"C7","10uF","C_0805",11.734600,-21.666000,270.000000,top
"C8","100nF","C_0805",26.873000,-9.093000,90.000000,top
"C9","100nF","C_0603",23.131500,-11.798100,0.000000,top
"C10","100nF","C_0402",17.856000,-23.825000,180.000000,top
"D1","Shottky","D_SOD-523",1.346000,-10.363000,180.000000,top
"D2","Green","LED_0805",20.904000,-24.587000,180.000000,top
"D3","Green","LED_0805",20.904000,-14.427000,0.000000,top
"F1","0.1A","Fuse_0603",6.426000,-24.358500,90.000000,top
"L1","600Ohm","L_0805",24.460000,-5.410000,0.000000,top
"L2","10uH","L_0805",8.966000,-20.904000,0.000000,top
"Q1","NMOS","SOT-323_SC-70",17.856000,-26.111000,270.000000,top
"R1","10K","R_0603",4.836000,-8.432500,90.000000,top
"R2","33","R_0603",22.174000,-0.901500,180.000000,top
"R3","10K","R_0603",2.641500,-6.680000,90.000000,top
"R4","10K","R_0603",2.133400,-8.915200,180.000000,top
"R5","22K","R_0603",1.473000,-12.649000,270.000000,top
"R6","33","R_0603",6.934000,-16.306500,270.000000,top
"R7","33K","R_0603",24.460000,-13.347500,180.000000,top
"R8","4.7K","R_0603",26.873000,-12.560000,90.000000,top
"R9","33K","R_0603",13.538000,-16.263500,90.000000,top
"R10","330","R_0603",21.054000,-26.365000,0.000000,top
"R11","100K","R_0603",15.062000,-16.263500,270.000000,top
"SW1","ON/OFF","SW_SPST_PTS645_4pin",20.904000,-19.507000,0.000000,top
"U2","74AUP1T08","SOT-353_SC-70-5",3.886000,-12.649000,0.000000,top
"U3","SN74LV1T126","SOT-23-5",9.474000,-15.951000,270.000000,top
"U4","TPS62203DBV","SOT-23-5",8.966000,-23.825000,90.000000,top
"U5","74LVC1G14","SOT-23-5",23.444000,-9.220000,180.000000,top
